name,manufacturer,type,image,checklist category,phase,item,expectedState,notes
C208B Sample,Unknown,GA,,Normal Checklist,After Landing,Fuel condition lever,Low idle when clear of runway,
C208B Sample,Unknown,GA,,Normal Checklist,Shutdown,Parking brake,Set,
C208B Sample,Unknown,GA,,Normal Checklist,Shutdown,Avionics,Off,
C208B Sample,Unknown,GA,,Normal Checklist,Shutdown,Standby power,Off,
C208B Sample,Unknown,GA,,Normal Checklist,Shutdown,Fuel boost,Off,
C208B Sample,Unknown,GA,,Normal Checklist,Shutdown,"Bleed air, ventilation fans, air conditioner",Off,
C208B Sample,Unknown,GA,,Normal Checklist,Shutdown,Inverter,Off,
C208B Sample,Unknown,GA,,Normal Checklist,Shutdown,Power lever,Idle,
C208B Sample,Unknown,GA,,Normal Checklist,Shutdown,ITT,Min. temperature for 1 min,
C208B Sample,Unknown,GA,,Normal Checklist,Shutdown,Propeller,Feather,
C208B Sample,Unknown,GA,,Normal Checklist,Shutdown,Fuel condition lever,Cutoff,
C208B Sample,Unknown,GA,,Normal Checklist,Shutdown,Oxygen,Off,
C208B Sample,Unknown,GA,,Normal Checklist,Shutdown,Lights,Off,
C208B Sample,Unknown,GA,,Normal Checklist,Shutdown,Battery,Off,
C208B Sample,Unknown,GA,,Normal Checklist,Shutdown,Controls,Lock,
C208B Sample,Unknown,GA,,Normal Checklist,Shutdown,Fuel tank selectors,Both off,
C208B Sample,Unknown,GA,,Normal Checklist,Shutdown,Tiedowns and chocks,As required,
C208B Sample,Unknown,GA,,Normal Checklist,Shutdown,External covers,Install,
C208B Sample,Unknown,GA,,Normal Checklist,Shutdown,Fuel filter,Check bypass flag,
C208B Sample,Unknown,GA,,Normal Checklist,Shutdown,Oil breather drain can,Drain,
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Starter--Preferred),Electrical load,Reduce,
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Starter--Preferred),Standby power,Off,
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Starter--Preferred),Avionics power,Off,
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Starter--Preferred),Ignition,Normal,
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Starter--Preferred),Air conditioner,Off,
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Starter--Preferred),Bleed air heat,Off,
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Starter--Preferred),Emergency power lever,Normal,
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Starter--Preferred),Power lever,Idle,
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Starter--Preferred),Propeller,Min. rpm,
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Starter--Preferred),Fuel condition lever,Cutoff,
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Starter--Preferred),Fuel shutoff,On (push in),
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Starter--Preferred),Fuel tank selectors,"L on, R on",
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Starter--Preferred),Battery switch,On,
C208B Sample,Unknown,GA,,Abnormal Checklist,Air Start (Starter--Preferred),Fuel boost switch,On,
